start_date,type,name,moving_time,max_heart_rate,distance,average_speed,max_speed,total_elevation_gain,max_heartrate,average_heartrate,calories
"May 27, 2025, 2:42:00 PM",Ride,Evening Ride,4946.00,,34897.70,7.06,11.36,119.1,,,
"Jun 8, 2025, 2:31:56 PM",Ride,Night Ride,7827.00,,51932.90,6.64,11.76,41.4,,,
"Jun 8, 2025, 2:32:07 PM",Ride,Evening Ride,6307.00,158,40567.00,6.43,11.70,60.3,158,145,949
"Jun 17, 2025, 3:06:40 PM",Ride,Evening Ride,4410.00,,30376.60,6.89,10.82,169.4,,,
"Jun 19, 2025, 3:43:44 PM",Ride,Evening Ride,1.00,,0.00,0.00,0.00,58.6,,,
"Jun 23, 2025, 2:39:15 PM",Ride,Evening Ride,4476.00,169,31430.90,7.02,10.60,75.4,169,152,772
"Jun 23, 2025, 2:38:56 PM",Ride,Evening Ride,4415.00,,31556.00,7.15,10.74,103.4,,,
"Jun 25, 2025, 1:46:35 PM",Ride,Evening Ride,7386.00,,50446.10,6.83,11.84,113,,,
"Jun 25, 2025, 1:47:00 PM",Ride,Afternoon Ride,7478.00,171,50181.10,6.71,11.71,60.6,171,157,1204
"Jul 1, 2025, 2:36:42 PM",Ride,Evening Ride,4452.00,,30634.10,6.88,10.66,0,,,
"Jul 1, 2025, 2:39:01 PM",Ride,Evening Ride,4565.00,179,30342.10,6.65,10.54,53.8,179,160,768
"Jul 15, 2025, 2:12:56 PM",Ride,Evening Ride,5250.00,,31101.00,5.92,10.20,72.9,,,
"Jul 17, 2025, 3:00:57 PM",Ride,Evening Ride,4451.00,,30340.20,6.82,11.68,99.2,,,
"Jul 17, 2025, 3:00:53 PM",Ride,Evening Ride,4451.00,175,29995.70,6.74,11.66,102.6,175,161,772
"Jul 21, 2025, 3:22:58 PM",Ride,Evening Ride,3314.00,,21185.20,6.39,9.74,63.2,,,
"Jul 27, 2025, 2:42:22 PM",Ride,Evening Ride,5544.00,,35813.80,6.46,10.80,73.6,,,
"Jul 27, 2025, 2:43:26 PM",Ride,Evening Ride,5644.00,164,35699.80,6.33,10.76,58.1,164,152,851
"Aug 7, 2025, 3:10:16 PM",Walk,Evening Walk,2952.00,129,3507.10,1.19,2.10,55.5,129,116,155
"Aug 7, 2025, 3:09:56 PM",Ride,Evening Ride,2963.00,,3541.30,1.20,2.20,42,,,
"Aug 10, 2025, 3:02:34 PM",Ride,Night Ride,7795.00,,50411.60,6.47,10.00,39.2,,,
"Aug 12, 2025, 3:08:19 PM",Ride,Night Ride,7798.00,,51248.60,6.57,10.66,66.1,,,
"Aug 25, 2025, 2:54:25 PM",Ride,Evening Ride,5604.00,171,35428.60,6.32,11.26,85.8,171,149,831
"Aug 21, 2025, 3:32:23 PM",Ride,Evening Ride,4012.00,,25796.10,6.43,9.96,34.8,,,
"Aug 25, 2025, 2:55:08 PM",Ride,Evening Ride,5627.00,,35739.00,6.35,11.42,0,,,
"Sep 2, 2025, 3:27:22 PM",Ride,Night Ride,4859.00,,31038.70,6.39,10.96,97.7,,,
"Sep 10, 2025, 3:13:52 PM",Ride,Evening Ride,4406.00,,22431.10,5.09,9.80,97.1,,,
"Sep 15, 2025, 2:58:11 PM",Ride,Night Ride,7817.00,,50980.20,6.52,10.10,108.6,,,
"Sep 24, 2025, 3:18:13 PM",Ride,Evening Ride,2726.00,,15836.30,5.81,10.82,50.5,,,
"Oct 6, 2025, 2:32:25 PM",Ride,Evening Ride,4696.00,,30717.20,6.54,10.64,61.8,,,
"Oct 8, 2025, 2:05:37 PM",Ride,Evening Ride,4556.00,,24573.50,5.39,9.14,51,,,
